WKT	name	description
"POLYGON ((103.7080331 1.3827508, 103.7080237 1.3826542, 103.7082356 1.3826288, 103.7082437 1.3827079, 103.7089639 1.3826422, 103.7088807 1.3817962, 103.7088914 1.3817519, 103.708929 1.3816929, 103.7089907 1.3816447, 103.709043 1.381638, 103.7090819 1.3816393, 103.7091315 1.3816581, 103.7093112 1.3816433, 103.7093367 1.3816179, 103.7093689 1.3815589, 103.7093944 1.3818096, 103.7093555 1.3817291, 103.7093139 1.3816996, 103.7090309 1.3817265, 103.7089853 1.381768, 103.7089692 1.3818056, 103.7091141 1.3834064, 103.7091275 1.383452, 103.7091637 1.3834828, 103.7092026 1.3834949, 103.7092307 1.3834855, 103.7094292 1.3834654, 103.7094668 1.38346, 103.7094855 1.3834453, 103.7095244 1.3834077, 103.7095432 1.383574, 103.7095151 1.3835364, 103.7094949 1.3835203, 103.7092669 1.3835431, 103.7092482 1.3835686, 103.7092053 1.3835766, 103.7091355 1.3835619, 103.7090752 1.3835136, 103.7090336 1.3834453, 103.7089679 1.3826663, 103.7080331 1.3827508))"	red	TOL Site + EP Stump
"POLYGON ((103.7098849 1.3874912, 103.709846 1.3874523, 103.7098098 1.3874416, 103.7092184 1.3874898, 103.7091929 1.3875153, 103.7091875 1.3875609, 103.7092237 1.387644, 103.7092573 1.3876936, 103.7092935 1.3877325, 103.7092948 1.3877794, 103.709276 1.387817, 103.7092224 1.3878706, 103.7091701 1.3878853, 103.7091124 1.3878719, 103.7090641 1.387829, 103.7090306 1.3877741, 103.7090427 1.3877244, 103.7090641 1.3876762, 103.7091017 1.3876494, 103.7091191 1.3876051, 103.7091017 1.3874523, 103.7098406 1.3873973, 103.7098701 1.3873504, 103.7098849 1.3874912))"	red	PAR Site
"POLYGON ((103.7057111 1.3753707, 103.7059417 1.375364, 103.7080768 1.4001417, 103.7078783 1.4001578, 103.7057111 1.3753707))"	orange	Whiskey Taxiway
"POLYGON ((103.7086876 1.3736259, 103.7091462 1.3735751, 103.7102165 1.386714, 103.711233 1.3998423, 103.710938 1.3998476, 103.7086876 1.3736259))"	orange	Echo Taxiway
"POLYGON ((103.7061072 1.377359, 103.7059356 1.3753319, 103.7069655 1.375289, 103.7070567 1.3764742, 103.706767 1.375718, 103.7063701 1.3757341, 103.7064988 1.3769622, 103.7061072 1.377359))"	orange	CP3 + W4
"POLYGON ((103.7079043 1.3980795, 103.7083522 1.3984629, 103.7084729 1.3996856, 103.7087626 1.3996588, 103.7089209 1.3995891, 103.709004 1.3994979, 103.7090523 1.3993826, 103.7091033 1.400045, 103.7080768 1.4001417, 103.7079043 1.3980795))"	orange	CP4 + W1
"POLYGON ((103.7102344 1.3867797, 103.7100304 1.3845026, 103.7107681 1.3844361, 103.7109532 1.3862782, 103.7109103 1.3863801, 103.7108405 1.3864847, 103.7107091 1.3866215, 103.7105884 1.3866912, 103.7104355 1.3867207, 103.710347 1.3867314, 103.7102344 1.3867797))"	orange	D9A Area
"POLYGON ((103.7098265 1.3819408, 103.7096281 1.3795731, 103.7099043 1.3795544, 103.7100599 1.3795517, 103.7102155 1.3796321, 103.710304 1.3797233, 103.7103657 1.3798761, 103.7105427 1.3818845, 103.7098265 1.3819408))"	orange	Bay Area
"POLYGON ((103.7097976 1.3795604, 103.7096281 1.3795731, 103.7095964 1.3790375, 103.7099593 1.3790057, 103.7100068 1.3790482, 103.7100497 1.3791099, 103.7101221 1.3791501, 103.7102482 1.3791743, 103.7103501 1.3790482, 103.7103877 1.3789517, 103.7105486 1.378941, 103.7105754 1.3790429, 103.7112782 1.3797588, 103.7113881 1.3796596, 103.7132281 1.381003, 103.7128526 1.3814481, 103.711246 1.380279, 103.711187 1.380094, 103.711128 1.3800109, 103.7110314 1.3799143, 103.7109349 1.3799063, 103.7108705 1.379976, 103.7109188 1.3807483, 103.7107766 1.3807134, 103.7107444 1.3799733, 103.7107095 1.3798634, 103.7105996 1.3797427, 103.7104655 1.3796569, 103.7102697 1.3796703, 103.7101785 1.3796086, 103.7100599 1.3795517, 103.7097976 1.3795604))"	orange	E6 - E7 + D8 Taxi Back
"POLYGON ((103.705615 1.3753836, 103.7056928 1.3753165, 103.7057304 1.3752683, 103.7056633 1.3745094, 103.7047111 1.3727692, 103.7046924 1.3726807, 103.7047272 1.3725413, 103.7047943 1.372442, 103.7048935 1.3723804, 103.7059503 1.3719379, 103.7060013 1.372064, 103.7061247 1.3720184, 103.7061408 1.3720666, 103.704974 1.3725413, 103.7048989 1.3725949, 103.7048613 1.3726914, 103.7058323 1.374437, 103.7058538 1.3745845, 103.7059128 1.3752629, 103.706004 1.3753594, 103.705615 1.3753836))"	orange	W6
