WKT	name	description
"POLYGON ((103.8106641 1.4276696, 103.8142341 1.4315228, 103.8124236 1.433271, 103.8101706 1.4327562, 103.8097843 1.429324, 103.8106641 1.4276696))"	Purple	
"POLYGON ((103.8102625 1.4243517, 103.8036697 1.4171335, 103.8043823 1.4165264, 103.8105726 1.4230453, 103.8117594 1.4219714, 103.812544 1.4217823, 103.8130952 1.4221926, 103.8102625 1.4243517))"	Orange	
"POLYGON ((103.8048824 1.4212565, 103.805966 1.4225114, 103.8052793 1.4230905, 103.8049682 1.422758, 103.8042172 1.4247559, 103.8037827 1.425093, 103.8031589 1.4244577, 103.8027733 1.4248729, 103.8020876 1.4242028, 103.8020062 1.4237172, 103.8048824 1.4212565))"	Red	
"POLYGON ((103.8201917 1.4259371, 103.8200341 1.4243952, 103.819727 1.4213073, 103.8193622 1.4209551, 103.8202889 1.4199642, 103.8217203 1.4184251, 103.8223963 1.4189292, 103.8224499 1.4192617, 103.8218928 1.4199079, 103.8215487 1.4204227, 103.821571 1.4208102, 103.8205424 1.421986, 103.8203573 1.421844, 103.8202392 1.4222301, 103.8201226 1.4229729, 103.8205557 1.4235588, 103.820537 1.4245013, 103.8210694 1.4253136, 103.8214065 1.4256935, 103.8203144 1.4257154, 103.8201917 1.4259371))"	Cyan	
"POLYGON ((103.8036697 1.4171335, 103.8102625 1.4243517, 103.8115892 1.4233427, 103.8216427 1.4347331, 103.8218849 1.435783, 103.8200395 1.4377994, 103.8082164 1.4250227, 103.8066553 1.4263178, 103.8047313 1.4243696, 103.8042172 1.4247559, 103.8049682 1.422758, 103.8052793 1.4230905, 103.805966 1.4225114, 103.8048824 1.4212565, 103.8035465 1.4223702, 103.8015591 1.4201131, 103.8031309 1.4186759, 103.8033532 1.4187744, 103.8037179 1.4184741, 103.8029991 1.4176805, 103.8036697 1.4171335))"	Yellow	
"POLYGON ((103.8189223 1.4205515, 103.819727 1.4213073, 103.8197727 1.4217495, 103.819884 1.4228878, 103.8200127 1.4241534, 103.8201106 1.4251348, 103.8201917 1.4259371, 103.8201495 1.4268522, 103.8200623 1.428571, 103.8200127 1.4295054, 103.819943 1.4309158, 103.8199115 1.4315022, 103.8196603 1.4324914, 103.8165071 1.4289142, 103.8137457 1.4257917, 103.8115892 1.4233427, 103.8130952 1.4221926, 103.8134881 1.4222234, 103.8139107 1.4221651, 103.8148548 1.4220498, 103.815292 1.4219788, 103.8163112 1.4217555, 103.8168946 1.422015, 103.817494 1.4216389, 103.8176568 1.421876, 103.8188914 1.4210034, 103.8187238 1.4207621, 103.8189223 1.4205515))"	Blue	
"POLYGON ((103.8216427 1.4347331, 103.8196603 1.4324914, 103.8199115 1.4315022, 103.8201917 1.4259371, 103.8203144 1.4257154, 103.8214065 1.4256935, 103.8214373 1.4260159, 103.8214333 1.4262251, 103.8215285 1.4262278, 103.8215325 1.4264986, 103.8215231 1.4270241, 103.8218329 1.42713, 103.8219644 1.427177, 103.821988 1.4274675, 103.8225661 1.4274722, 103.822725 1.427555, 103.8231437 1.4276882, 103.8233104 1.4276454, 103.8234069 1.4278081, 103.8236215 1.4277249, 103.823761 1.428022, 103.8240833 1.4278969, 103.8242281 1.428216, 103.8237279 1.4289453, 103.8234811 1.4293864, 103.823395 1.4298502, 103.8234235 1.4313143, 103.8234384 1.4322026, 103.8229688 1.4326858, 103.8225008 1.4331698, 103.8218727 1.4337366, 103.821619 1.4340422, 103.8215532 1.4342117, 103.8215356 1.434392, 103.8216427 1.4347331))"	Green	
