WKT,name,description
"POLYGON ((103.9128181 1.3674726, 103.9114904 1.3643219, 103.9124894 1.3644403, 103.9126289 1.3645556, 103.9136584 1.3669471, 103.9136616 1.3671083, 103.913506 1.3673041, 103.9130273 1.3674967, 103.9128181 1.3674726))",red,RWY SHLDER
"POLYGON ((103.9112436 1.3638473, 103.9087921 1.3579937, 103.9091662 1.3570395, 103.9094102 1.3570073, 103.9123044 1.3638048, 103.9121783 1.3639871, 103.9112436 1.3638473))",red,RWY SHLDER
"POLYGON ((103.9100862 1.3652545, 103.909704 1.3651298, 103.9087149 1.3628539, 103.9079434 1.3610208, 103.9076655 1.3600672, 103.9077728 1.3600243, 103.9077379 1.3599171, 103.9086806 1.3594708, 103.9088495 1.3595352, 103.9110329 1.3647479, 103.9109256 1.3649035, 103.9100862 1.3652545))",red,RWY SHLDER
"POLYGON ((103.9075609 1.3595256, 103.9071465 1.3590214, 103.9052826 1.3547131, 103.9051834 1.3540964, 103.9054704 1.353906, 103.9061405 1.3536387, 103.9063363 1.3536896, 103.9086403 1.3590445, 103.9085304 1.3591786, 103.9078732 1.3594682, 103.9075609 1.3595256))",red,RWY SHLDER
"POLYGON ((103.9085292 1.3574064, 103.9053374 1.3499024, 103.9054773 1.3496957, 103.9060763 1.3494804, 103.906256 1.349636, 103.9090709 1.3561747, 103.9085292 1.3574064))",red,RWY SHLDER
"POLYGON ((103.9053654 1.3536226, 103.9049527 1.3536861, 103.903971 1.3517206, 103.9036625 1.3506266, 103.903984 1.3503619, 103.904617 1.3500938, 103.9048343 1.350142, 103.9061083 1.3531587, 103.905993 1.3533437, 103.9053654 1.3536226))",red,RWY SHLDER
"POLYGON ((103.9034399 1.3500956, 103.9032575 1.3498972, 103.9025624 1.3483562, 103.9015946 1.3456873, 103.9021412 1.3453381, 103.9026883 1.3451852, 103.9046063 1.3496111, 103.9045419 1.3497532, 103.9036491 1.3501332, 103.9034399 1.3500956))",red,RWY SHLDER
"POLYGON ((103.9050996 1.3493978, 103.9032703 1.3450913, 103.9033669 1.3448795, 103.9039251 1.344643, 103.9041692 1.3447315, 103.9059824 1.3490862, 103.9058617 1.3492605, 103.9053571 1.3494782, 103.9050996 1.3493978))",red,RWY SHLDER
"POLYGON ((103.9130595 1.3736175, 103.9127713 1.372953, 103.9123891 1.3720279, 103.9120257 1.3711873, 103.9117843 1.3706215, 103.9116086 1.3701925, 103.9114396 1.3697996, 103.9111352 1.3690904, 103.9108321 1.3683664, 103.9105156 1.3676102, 103.9102232 1.3669251, 103.9099939 1.3664116, 103.9099094 1.3661851, 103.9097498 1.3658204, 103.9086595 1.3632663, 103.9086139 1.3631832, 103.9085495 1.3631926, 103.9083765 1.3632743, 103.9082652 1.3630317, 103.9084543 1.3629566, 103.9084865 1.3629137, 103.9084624 1.3628614, 103.9084141 1.3628574, 103.9082263 1.3629499, 103.9081901 1.3628721, 103.9083993 1.362789, 103.908402 1.3627501, 103.9082652 1.3624766, 103.9082223 1.362435, 103.9081083 1.3623908, 103.907993 1.3623828, 103.9079179 1.3624257, 103.9078455 1.3624632, 103.9077113 1.3621481, 103.9077757 1.3621334, 103.9078374 1.3621079, 103.9079165 1.3620422, 103.9079715 1.3619537, 103.9079943 1.3618559, 103.9079246 1.3616521, 103.9076979 1.3609911, 103.9073948 1.3602202, 103.9072527 1.3599024, 103.9072225 1.3598616, 103.9071668 1.3597509, 103.9071539 1.3597199, 103.907141 1.3596849, 103.9071099 1.3596269, 103.9070234 1.3594224, 103.9069643 1.3593541, 103.9068544 1.3591221, 103.9066318 1.3585791, 103.9063823 1.3580026, 103.906157 1.3575709, 103.9060685 1.3574462, 103.9060309 1.3574154, 103.9059438 1.3572947, 103.9058217 1.3572934, 103.9057225 1.3573309, 103.9056796 1.3573711, 103.9055428 1.3570534, 103.9055843 1.357048, 103.9057238 1.3569823, 103.9057761 1.3569126, 103.9057493 1.3568308, 103.905756 1.3567544, 103.9057426 1.35656, 103.9056527 1.3562865, 103.905186 1.3551737, 103.9051505 1.3551703, 103.905127 1.3550986, 103.9051284 1.3550255, 103.9049688 1.3546729, 103.9048092 1.354445, 103.904714 1.3543833, 103.9044605 1.3544986, 103.9042486 1.3540066, 103.9043318 1.3539476, 103.9044203 1.3538631, 103.9044471 1.3536459, 103.9044404 1.3534421, 103.9042862 1.3530024, 103.9041024 1.3525519, 103.9037752 1.3517796, 103.9034802 1.3511682, 103.903397 1.3510382, 103.9033863 1.3510207, 103.90334 1.3509624, 103.9032267 1.350829, 103.9030993 1.3508049, 103.9029813 1.3508143, 103.9029088 1.3508465, 103.9027707 1.3505354, 103.9028968 1.3504362, 103.902996 1.3503075, 103.9029893 1.3501332, 103.9029464 1.3499495, 103.9028176 1.3495325, 103.9023778 1.3484653, 103.9022074 1.3480671, 103.902072 1.3480095, 103.9019634 1.3480215, 103.9017582 1.3481355, 103.9016697 1.3479344, 103.9018842 1.3478432, 103.9019607 1.3477963, 103.9020184 1.3477011, 103.9018494 1.3472989, 103.9016603 1.3469865, 103.9015114 1.3468765, 103.9013773 1.3468672, 103.9013304 1.346894, 103.9011748 1.3465146, 103.9012204 1.346532, 103.9012781 1.3464824, 103.9013451 1.3463617, 103.901321 1.3461405, 103.9011332 1.3455935, 103.901093 1.3455492, 103.9008958 1.3456471, 103.9008583 1.3457436, 103.9007899 1.3449506, 103.900916 1.3451483, 103.9009535 1.3451296, 103.9009213 1.3450733, 103.9008409 1.3448561, 103.9009535 1.34436, 103.901042 1.3443305, 103.9014739 1.3446094, 103.9015651 1.3448024, 103.9018595 1.3446597, 103.9021412 1.3453381, 103.9018467 1.3454594, 103.9015946 1.3456873, 103.9015946 1.3459501, 103.901954 1.3469503, 103.9026487 1.3486208, 103.90311 1.349621, 103.9032575 1.3498972, 103.9034399 1.3500956, 103.9035284 1.3501251, 103.9036491 1.3501332, 103.9038687 1.3500696, 103.903984 1.3503619, 103.9037672 1.3505006, 103.9036625 1.3506266, 103.9036733 1.3508009, 103.903971 1.3517206, 103.9045235 1.3529648, 103.9047864 1.3534528, 103.9049527 1.3536861, 103.905068 1.3536969, 103.905347 1.3536245, 103.9054704 1.353906, 103.9051834 1.3540964, 103.905178 1.3543297, 103.9052826 1.3547131, 103.9054433 1.355069, 103.9060723 1.3565572, 103.9065215 1.3576123, 103.9068353 1.3583135, 103.9071465 1.3590214, 103.9073168 1.359303, 103.9074536 1.3594773, 103.9075609 1.3595256, 103.9077164 1.3595041, 103.9078732 1.3594682, 103.9079886 1.3597497, 103.9077379 1.3599171, 103.9076655 1.3600672, 103.9077379 1.3604131, 103.9078023 1.360633, 103.9083736 1.36214, 103.9090723 1.3636456, 103.9094867 1.364619, 103.9096195 1.3649514, 103.909704 1.3651298, 103.9098139 1.3652169, 103.9099467 1.3652572, 103.9100862 1.3652545, 103.9101291 1.3652384, 103.9102712 1.3651608, 103.9105354 1.3658051, 103.910471 1.3658306, 103.9102846 1.3659606, 103.9101921 1.3661389, 103.9101896 1.3663373, 103.9126277 1.3720595, 103.9127001 1.3722097, 103.9130113 1.3725288, 103.9132714 1.3726468, 103.9134887 1.372695, 103.9136872 1.3727004, 103.9137997 1.372657, 103.9139031 1.3729122, 103.913773 1.3729605, 103.9135557 1.3731455, 103.9134055 1.3733279, 103.913376 1.3734807, 103.9130595 1.3736175))",yellow,Western Taxiway (PLAB)
POINT (103.9021715 1.3430628),yellow,Southern Overrun (PLAB)
