WKT,name,description
"POLYGON ((104.010646 1.343392, 104.010694 1.343389, 104.011692 1.342958, 104.012948 1.345942, 104.011908 1.346381, 104.010646 1.343392))",YELLOW,east
"POLYGON ((104.015527 1.356, 104.015751 1.355793, 104.015794 1.355835, 104.015833 1.355858, 104.015908 1.35588, 104.015995 1.355883, 104.016106 1.355852, 104.016209 1.356134, 104.016132 1.356174, 104.016065 1.356187, 104.015995 1.356196, 104.015893 1.35619, 104.015816 1.356169, 104.01573 1.356149, 104.015644 1.356096, 104.015527 1.356))",YELLOW,MIKE YANKEE TAXIWAY
"POLYGON ((104.006505 1.33579, 104.006509 1.33574, 104.006716 1.335762, 104.006709 1.335813, 104.006505 1.33579))",YELLOW,MY6
"POLYGON ((104.01539 1.355333, 104.001156 1.321816, 104.001452 1.321691, 104.01573 1.355252, 104.01539 1.355333))",YELLOW,MIKE YANKEE TAXIWAY
"POLYGON ((104.006107 1.328192, 104.006061 1.328044, 104.008215 1.327135, 104.008282 1.327269, 104.006107 1.328192))",YELLOW,Y9
"POLYGON ((104.004913 1.328738, 104.004825 1.328502, 104.005687 1.328124, 104.005808 1.328364, 104.004913 1.328738))",YELLOW,Y9
"POLYGON ((104.002177 1.325138, 104.00214 1.325146, 104.002152 1.325194, 104.002102 1.325214, 104.002 1.325021, 104.002099 1.324977, 104.002258 1.324906, 104.002332 1.325072, 104.002177 1.325138))",YELLOW,SOUTHERN GLIDESCOPE
"POLYGON ((104.009124 1.342145, 104.009026 1.341966, 104.010148 1.341488, 104.010228 1.341673, 104.009124 1.342145))",YELLOW,FIRE LANE
"POLYGON ((104.005913 1.328585, 104.004878 1.329021, 104.00458 1.328313, 104.005624 1.327884, 104.005913 1.328585))",ORANGE,Y9
"POLYGON ((104.006512 1.327509, 104.006432 1.327288, 104.006425 1.327233, 104.006433 1.327182, 104.006456 1.327099, 104.006486 1.327017, 104.006496 1.326946, 104.006476 1.32687, 104.006188 1.326209, 104.007108 1.325823, 104.007206 1.326046, 104.011361 1.324277, 104.011266 1.324039, 104.011572 1.323904, 104.011085 1.322741, 104.011706 1.322472, 104.011799 1.322673, 104.011546 1.322784, 104.011496 1.322843, 104.011465 1.322927, 104.011475 1.322985, 104.012202 1.3247, 104.012645 1.325726, 104.005979 1.328554, 104.005682 1.327859, 104.006512 1.327509))",ORANGE,UNTITLED LAYER
"POLYGON ((104.007061 1.325725, 104.008078 1.325251, 104.009119 1.324804, 104.011199 1.323895, 104.011297 1.324103, 104.011361 1.324277, 104.00928 1.325161, 104.007206 1.326046, 104.007061 1.325725))",ORANGE,UNTITLED LAYER
"POLYGON ((104.002741 1.327036, 104.002938 1.326953, 104.003014 1.326916, 104.003055 1.3269, 104.003113 1.326887, 104.003179 1.326882, 104.003232 1.326886, 104.003275 1.326903, 104.003322 1.326916, 104.003378 1.326942, 104.003409 1.326973, 104.003436 1.326989, 104.003466 1.32702, 104.003483 1.327037, 104.003924 1.328056, 104.003282 1.328328, 104.002741 1.327036))",ORANGE,UNTITLED LAYER
"POLYGON ((104.012279 1.325038, 104.01257 1.325747, 104.005979 1.328554, 104.005835 1.328203, 104.005682 1.327859, 104.012279 1.325038))",ORANGE,Y9
"POLYGON ((103.995961 1.3148513, 103.996325 1.314696, 103.9963075 1.3146055, 103.9963461 1.3145176, 103.996711 1.3143394, 103.9971 1.3141718, 103.9980563 1.3137685, 103.9981429 1.3137598, 103.9982747 1.3137984, 103.9983368 1.313896, 103.9998548 1.317374, 104.0002778 1.318043, 104.0004028 1.31832, 104.0022558 1.322653, 104.0044128 1.327725, 104.0060228 1.331691, 104.0087188 1.338096, 104.0100418 1.341203, 104.0109083 1.343288, 104.0112882 1.3431233, 104.011727 1.3429424, 104.0130644 1.3459929, 104.0128122 1.3460989, 104.0125466 1.3462216, 104.012694 1.3465159, 104.0128666 1.3468953, 104.0126999 1.3471508, 104.0125951 1.3473229, 104.0127156 1.3476048, 104.0144215 1.3516408, 104.0148906 1.3514399, 104.0163126 1.3548485, 104.0162367 1.3548686, 104.016002 1.3549885, 104.0161777 1.3553926, 104.0168497 1.3569789, 104.0171481 1.357697, 104.0171073 1.3577099, 104.0170891 1.3577599, 104.0171165 1.3579373, 104.0173878 1.3586857, 104.0174488 1.3588139, 104.0173221 1.3588805, 104.0174644 1.3592322, 104.0175566 1.359449, 104.0177613 1.3599145, 104.0180944 1.3607056, 104.0182102 1.3606683, 104.0183472 1.3609477, 104.0190808 1.362608, 104.0190718 1.362773, 104.0189908 1.362903, 104.0178738 1.36337, 104.0167084 1.3638379, 104.0165079 1.3636887, 104.0163866 1.3636074, 104.0162413 1.3634967, 104.0160552 1.3632095, 104.015842 1.3626991, 104.0152868 1.3613564, 104.0146019 1.3597692, 104.0136573 1.3576118, 104.0135472 1.3576469, 104.0132699 1.3570441, 104.0130247 1.3564198, 104.0116121 1.3531869, 104.0110242 1.3518249, 104.0105007 1.3504844, 104.0102048 1.349777, 104.0099538 1.349748, 104.0096903 1.349039, 104.0098126 1.348967, 104.0095162 1.3482832, 104.0088457 1.3466899, 104.0088356 1.3465393, 104.0087371 1.3458336, 104.0086232 1.3458032, 104.0082918 1.345777, 104.0080408 1.3452, 104.0080092 1.3446104, 104.007865 1.344281, 104.0077329 1.3439784, 104.0075941 1.3436946, 104.0069964 1.3422814, 104.0070411 1.3418748, 104.0066138 1.341823, 104.0063588 1.341234, 104.0063081 1.3411273, 104.0064865 1.341037, 104.0063624 1.3407477, 104.0058564 1.339516, 104.0057688 1.3393381, 104.0055694 1.3393582, 104.0052144 1.338523, 104.0054799 1.3381852, 104.0051889 1.3379792, 104.0050226 1.3375561, 104.0041979 1.3356131, 104.0038914 1.3353353, 104.0035604 1.334563, 104.0037191 1.3343317, 104.0037793 1.334227, 104.0035988 1.3340851, 104.003385 1.3339062, 104.003318 1.3336912, 104.0033376 1.3336298, 104.002835 1.3324197, 104.0025127 1.3316765, 104.0022386 1.3313557, 104.0021124 1.331209, 104.0018584 1.330606, 104.0022807 1.3301092, 104.0016219 1.329627, 104.0005885 1.3271905, 104.0000677 1.3259675, 103.9995282 1.3246225, 103.9995271 1.3244469, 103.9989604 1.323144, 103.9988013 1.3227689, 103.9987584 1.322667, 103.9982847 1.3216148, 103.9972025 1.3220823, 103.9970478 1.3218066, 103.9969756 1.3216536, 103.996928 1.3215336, 103.9968635 1.3214344, 103.9968368 1.321354, 103.9953848 1.317693, 103.9952238 1.31722, 103.9954108 1.316568, 103.9954548 1.31648, 103.9951398 1.316586, 103.9950438 1.316552, 103.9949798 1.316508, 103.9944654 1.3153104, 103.9948564 1.3151282, 103.9949339 1.3150988, 103.9950462 1.3150909, 103.9959107 1.3147237, 103.995961 1.3148513))",ORANGE,CAB E
"POLYGON ((104.0011321 1.3285421, 104.0012668 1.3288469, 104.0013694 1.3290391, 104.0016362 1.329673, 104.0022753 1.3301092, 104.001853 1.330606, 104.002107 1.331209, 104.0025073 1.3316765, 104.0029975 1.3328769, 104.0032946 1.3336403, 104.003385 1.3339062, 104.0037793 1.334227, 104.00353 1.33458, 104.003886 1.3353353, 104.0041925 1.3356131, 104.0049998 1.3376017, 104.0051889 1.3379792, 104.0054745 1.3381852, 104.005209 1.338523, 104.0054093 1.3389951, 104.0055684 1.3393814, 104.0057597 1.33936, 104.0064865 1.341037, 104.0063081 1.3411273, 104.006603 1.341823, 104.0070357 1.3418748, 104.006991 1.3422814, 104.0080038 1.3446104, 104.0079855 1.3450529, 104.008281 1.345777, 104.0087317 1.3458336, 104.0088403 1.3466899, 104.0093919 1.3480506, 104.0098126 1.348967, 104.0096903 1.349039, 104.009943 1.349748, 104.010194 1.349777, 104.0108507 1.3514628, 104.0112273 1.3523164, 104.0115878 1.3531485, 104.0126062 1.3554518, 104.0133245 1.3571993, 104.0135472 1.3576469, 104.0136573 1.3576118, 104.0143522 1.3592536, 104.0145536 1.3597263, 104.0149867 1.3607177, 104.0153983 1.3617038, 104.0156162 1.3622491, 104.015818 1.3627461, 104.0160145 1.3632217, 104.0162059 1.3634869, 104.0167084 1.3638379, 104.016372 1.364009, 104.0161671 1.3636982, 104.0160936 1.3635724, 104.015996 1.363432, 104.015919 1.363469, 104.0159095 1.3634683, 104.01257 1.3560719, 104.0092735 1.3486433, 104.0079295 1.3491583, 104.0075785 1.3489603, 104.0039915 1.3504883, 104.0032785 1.3488043, 104.0066725 1.3473193, 104.0067875 1.3469973, 103.9963165 1.3221793, 103.9964398 1.3218849, 103.9967181 1.3217609, 103.9968782 1.3217416, 103.9970237 1.3217637, 103.9972025 1.3220823, 103.9982793 1.3216148, 103.9995217 1.3244469, 103.9995228 1.3246225, 103.9998785 1.3254939, 104.0000889 1.3260204, 104.0010397 1.3283538, 104.0011321 1.3285421))",ORANGE,CAG AREA OF RESPONSIBILITY
"POLYGON ((104.014154 1.355559, 104.013857 1.354878, 104.013921 1.354945, 104.014028 1.35501, 104.014157 1.355039, 104.014243 1.355042, 104.014321 1.355004, 104.014513 1.354924, 104.014692 1.355339, 104.014154 1.355559))",RED,ACTIVE RUNWAY
"POLYGON ((104.012206 1.349432, 104.011919 1.349204, 104.011428 1.348839, 104.011383 1.348837, 104.011329 1.348874, 104.010776 1.347555, 104.010964 1.347879, 104.011085 1.348062, 104.011259 1.348284, 104.01149 1.348571, 104.011739 1.348807, 104.0119 1.348941, 104.012334 1.349263, 104.012206 1.349432))",RED,Polygon 3
"POLYGON ((104.010581 1.345585, 104.009928 1.345096, 104.00985 1.345029, 104.009786 1.345002, 104.009742 1.345018, 104.00971 1.345074, 104.009174 1.343758, 104.009273 1.343903, 104.009351 1.344034, 104.009509 1.344265, 104.009701 1.344511, 104.009776 1.344597, 104.009937 1.344766, 104.010141 1.34497, 104.010348 1.345155, 104.010702 1.345427, 104.010581 1.345585))",RED,Polygon 4
"POLYGON ((104.009337 1.342649, 104.008623 1.342115, 104.008526 1.342062, 104.008473 1.342163, 104.008162 1.341413, 104.00828 1.341338, 104.00848 1.341592, 104.008673 1.341817, 104.008966 1.342104, 104.009204 1.342294, 104.009458 1.342484, 104.009407 1.342557, 104.009337 1.342649))",RED,Polygon 5
"POLYGON ((104.008049 1.339611, 104.008266 1.339633, 104.008188 1.340254, 104.008199 1.34093, 104.008245 1.341187, 104.00828 1.341338, 104.008162 1.341413, 104.007808 1.340573, 104.007858 1.340606, 104.007888 1.340608, 104.007926 1.340568, 104.007947 1.340504, 104.008014 1.339927, 104.008049 1.339611))",RED,Polygon 6
"POLYGON ((104.006838 1.338236, 104.006229 1.336821, 104.006264 1.336848, 104.006323 1.336856, 104.006361 1.336813, 104.006472 1.335852, 104.00668 1.33588, 104.006591 1.336665, 104.006602 1.337132, 104.006634 1.337405, 104.006672 1.337657, 104.006763 1.338011, 104.006838 1.338236))",RED,Polygon 7
"POLYGON ((104.005299 1.3346, 104.004892 1.333628, 104.004938 1.333686, 104.004979 1.33372, 104.005047 1.333766, 104.005107 1.333788, 104.005166 1.333801, 104.005271 1.3338, 104.005349 1.333784, 104.00544 1.333743, 104.005554 1.333696, 104.005737 1.334102, 104.005541 1.334174, 104.005452 1.334226, 104.00537 1.334315, 104.005327 1.334388, 104.005302 1.334489, 104.005299 1.3346))",RED,Polygon 8
"POLYGON ((104.003847 1.331154, 104.003911 1.331156, 104.003944 1.331121, 104.003957 1.331089, 104.004066 1.33016, 104.00428 1.330181, 104.004236 1.330507, 104.004214 1.330765, 104.004204 1.331057, 104.004206 1.331328, 104.004255 1.331749, 104.004304 1.332025, 104.004351 1.332227, 104.004432 1.332505, 104.004481 1.332658, 104.003847 1.331154))",RED,Polygon 9
"POLYGON ((104.002338 1.327571, 104.001919 1.326572, 104.001981 1.326649, 104.002024 1.32668, 104.002069 1.326696, 104.002136 1.326723, 104.002185 1.326739, 104.002265 1.326733, 104.002335 1.32672, 104.002399 1.32669, 104.002572 1.326617, 104.002752 1.32703, 104.002508 1.327136, 104.002418 1.327208, 104.00235 1.327309, 104.002321 1.32741, 104.00232 1.327512, 104.002338 1.327571))",RED,Polygon 10
"POLYGON ((104.000391 1.322978, 104.000093 1.322284, 104.000468 1.322107, 104.000535 1.322082, 104.000638 1.322032, 104.000816 1.322451, 104.000704 1.322488, 104.00064 1.322517, 104.000557 1.322557, 104.000509 1.322597, 104.000452 1.322664, 104.000415 1.322742, 104.000382 1.322847, 104.000382 1.322922, 104.000391 1.322978))",RED,Polygon 11
"POLYGON ((103.998328 1.321747, 103.998382 1.321738, 103.998468 1.321728, 103.99851 1.321726, 103.998587 1.321732, 103.998665 1.321751, 104.00001 1.322289, 103.999599 1.322469, 103.99958 1.322434, 103.998755 1.322099, 103.998673 1.322077, 103.998582 1.322072, 103.998531 1.322076, 103.99847 1.322085, 103.998328 1.321747))",RED,Polygon 12
"POLYGON ((103.998961 1.323129, 103.998812 1.322785, 103.998967 1.322747, 103.999594 1.32248, 103.999837 1.323056, 103.999793 1.323007, 103.999742 1.322959, 103.999648 1.322904, 103.999586 1.322893, 103.999522 1.322885, 103.999455 1.322888, 103.999405 1.322901, 103.999297 1.322943, 103.999187 1.322994, 103.999126 1.323023, 103.999087 1.323042, 103.998961 1.323129))",RED,Polygon 13
"POLYGON ((103.999932 1.323296, 104.000321 1.324191, 104.000252 1.324084, 104.000125 1.324017, 104.000024 1.323987, 103.999911 1.323993, 103.999785 1.32403, 103.999643 1.324087, 103.999549 1.324146, 103.999416 1.32423, 103.999256 1.323885, 103.999428 1.323853, 103.999656 1.323765, 103.999779 1.323706, 103.999868 1.323628, 103.999927 1.323518, 103.999943 1.323389, 103.999932 1.323296))",RED,Polygon 14
"POLYGON ((104.003153 1.330911, 104.003209 1.331042, 104.003236 1.331106, 104.00325 1.331141, 104.00326 1.331165, 104.003153 1.330911))",RED,Polygon 15
"POLYGON ((104.00326 1.331165, 104.003926 1.332748, 104.00386 1.332629, 104.003789 1.332507, 104.003714 1.33238, 104.00356 1.332168, 104.003323 1.331863, 104.003106 1.33163, 104.002858 1.331397, 104.002701 1.331263, 104.002538 1.33115, 104.002449 1.331114, 104.002361 1.331103, 104.002294 1.331108, 104.002242 1.331126, 104.002192 1.331149, 104.002107 1.331209, 104.001853 1.330606, 104.002032 1.330373, 104.0028 1.330945, 104.003087 1.331157, 104.003168 1.331229, 104.003221 1.331216, 104.00326 1.331165))",RED,Polygon 15
